sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF720DBB/@@download/ENCFF720DBB.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF361XKJ/@@download/ENCFF361XKJ.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF709HFN/@@download/ENCFF709HFN.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF811KDP/@@download/ENCFF811KDP.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
ENCSR011BHU,https://www.encodeproject.org/files/ENCFF880ALS/@@download/ENCFF880ALS.fastq.gz,,1,H3K27ac,ENCSR258GSA,1
ENCSR011MGQ,https://www.encodeproject.org/files/ENCFF338AWO/@@download/ENCFF338AWO.fastq.gz,,1,H3K27ac,ENCSR570YPW,1
ENCSR011MGQ,https://www.encodeproject.org/files/ENCFF731QRB/@@download/ENCFF731QRB.fastq.gz,,1,H3K27ac,ENCSR570YPW,1
ENCSR012PII,https://www.encodeproject.org/files/ENCFF511CWO/@@download/ENCFF511CWO.fastq.gz,,1,H3K27ac,ENCSR444GJM,1
ENCSR012PII,https://www.encodeproject.org/files/ENCFF765EVS/@@download/ENCFF765EVS.fastq.gz,,1,H3K27ac,ENCSR444GJM,1
ENCSR013KEC,https://www.encodeproject.org/files/ENCFF970HHO/@@download/ENCFF970HHO.fastq.gz,,1,H3K27ac,ENCSR843OBM,1
ENCSR013KEC,https://www.encodeproject.org/files/ENCFF936KPA/@@download/ENCFF936KPA.fastq.gz,,2,H3K27ac,ENCSR843OBM,1
ENCSR014TDK,https://www.encodeproject.org/files/ENCFF167SMH/@@download/ENCFF167SMH.fastq.gz,,1,H3K27ac,ENCSR617MEB,1
ENCSR014TDK,https://www.encodeproject.org/files/ENCFF170VQI/@@download/ENCFF170VQI.fastq.gz,,1,H3K27ac,ENCSR617MEB,1
ENCSR014TDK,https://www.encodeproject.org/files/ENCFF342VAP/@@download/ENCFF342VAP.fastq.gz,,1,H3K27ac,ENCSR617MEB,1
ENCSR014TDK,https://www.encodeproject.org/files/ENCFF603BLP/@@download/ENCFF603BLP.fastq.gz,,1,H3K27ac,ENCSR617MEB,1
ENCSR014TDK,https://www.encodeproject.org/files/ENCFF687QYO/@@download/ENCFF687QYO.fastq.gz,,1,H3K27ac,ENCSR617MEB,1
ENCSR014TDK,https://www.encodeproject.org/files/ENCFF892KCH/@@download/ENCFF892KCH.fastq.gz,,1,H3K27ac,ENCSR617MEB,1
ENCSR015GFK,https://www.encodeproject.org/files/ENCFF124BGS/@@download/ENCFF124BGS.fastq.gz,,1,H3K27ac,ENCSR158PLZ,1
ENCSR015GFK,https://www.encodeproject.org/files/ENCFF542CPV/@@download/ENCFF542CPV.fastq.gz,,2,H3K27ac,ENCSR158PLZ,2
ENCSR016XBE,https://www.encodeproject.org/files/ENCFF692FLN/@@download/ENCFF692FLN.fastq.gz,,1,H3K27ac,ENCSR583DLA,1
ENCSR016XBE,https://www.encodeproject.org/files/ENCFF830NCL/@@download/ENCFF830NCL.fastq.gz,,1,H3K27ac,ENCSR583DLA,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF342DQI/@@download/ENCFF342DQI.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF500QGP/@@download/ENCFF500QGP.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF704WYD/@@download/ENCFF704WYD.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF720MXI/@@download/ENCFF720MXI.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF321YNX/@@download/ENCFF321YNX.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF353KDD/@@download/ENCFF353KDD.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF370QTQ/@@download/ENCFF370QTQ.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR025KPY,https://www.encodeproject.org/files/ENCFF486XHI/@@download/ENCFF486XHI.fastq.gz,,1,H3K27ac,ENCSR086BNR,1
ENCSR027BPE,https://www.encodeproject.org/files/ENCFF127TTO/@@download/ENCFF127TTO.fastq.gz,,1,H3K27ac,ENCSR204GMP,1
ENCSR027BPE,https://www.encodeproject.org/files/ENCFF868OXZ/@@download/ENCFF868OXZ.fastq.gz,,2,H3K27ac,ENCSR204GMP,2
ENCSR027BPE,https://www.encodeproject.org/files/ENCFF893QTX/@@download/ENCFF893QTX.fastq.gz,,3,H3K27ac,ENCSR204GMP,3
ENCSR028NXO,https://www.encodeproject.org/files/ENCFF141ZLN/@@download/ENCFF141ZLN.fastq.gz,,1,H3K27ac,ENCSR592KRF,1
ENCSR028QEA,https://www.encodeproject.org/files/ENCFF214PWW/@@download/ENCFF214PWW.fastq.gz,,1,H3K27ac,ENCSR128HTH,1
ENCSR028QEA,https://www.encodeproject.org/files/ENCFF283XNR/@@download/ENCFF283XNR.fastq.gz,,1,H3K27ac,ENCSR128HTH,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF504YRS/@@download/ENCFF504YRS.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF533KNU/@@download/ENCFF533KNU.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF558IGG/@@download/ENCFF558IGG.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF770GIJ/@@download/ENCFF770GIJ.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF512GBR/@@download/ENCFF512GBR.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF639BTG/@@download/ENCFF639BTG.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF645DRJ/@@download/ENCFF645DRJ.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF735YLE/@@download/ENCFF735YLE.fastq.gz,,1,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF122IEJ/@@download/ENCFF122IEJ.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF182YWC/@@download/ENCFF182YWC.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF511JXN/@@download/ENCFF511JXN.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF553OYC/@@download/ENCFF553OYC.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF165AZE/@@download/ENCFF165AZE.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF260LYF/@@download/ENCFF260LYF.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF673LJI/@@download/ENCFF673LJI.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR029SIG,https://www.encodeproject.org/files/ENCFF678SCP/@@download/ENCFF678SCP.fastq.gz,,2,H3K27ac,ENCSR067CHO,1
ENCSR034RQV,https://www.encodeproject.org/files/ENCFF033QTH/@@download/ENCFF033QTH.fastq.gz,,1,H3K27ac,ENCSR168STG,1
ENCSR034RQV,https://www.encodeproject.org/files/ENCFF356OSU/@@download/ENCFF356OSU.fastq.gz,,1,H3K27ac,ENCSR168STG,1
ENCSR034ZKE,https://www.encodeproject.org/files/ENCFF697YTU/@@download/ENCFF697YTU.fastq.gz,,1,H3K27ac,ENCSR247XFQ,1
ENCSR034ZKE,https://www.encodeproject.org/files/ENCFF737ZSN/@@download/ENCFF737ZSN.fastq.gz,,1,H3K27ac,ENCSR247XFQ,1
ENCSR039AHR,https://www.encodeproject.org/files/ENCFF127CMU/@@download/ENCFF127CMU.fastq.gz,,1,H3K27ac,ENCSR566AUD,1
ENCSR039AHR,https://www.encodeproject.org/files/ENCFF463OEA/@@download/ENCFF463OEA.fastq.gz,,2,H3K27ac,ENCSR566AUD,2
ENCSR041UZZ,https://www.encodeproject.org/files/ENCFF783CBS/@@download/ENCFF783CBS.fastq.gz,,1,H3K27ac,ENCSR828DDP,1
ENCSR041UZZ,https://www.encodeproject.org/files/ENCFF918JCL/@@download/ENCFF918JCL.fastq.gz,,1,H3K27ac,ENCSR828DDP,1
ENCSR041UZZ,https://www.encodeproject.org/files/ENCFF932AFM/@@download/ENCFF932AFM.fastq.gz,,1,H3K27ac,ENCSR828DDP,1
ENCSR041UZZ,https://www.encodeproject.org/files/ENCFF942RGN/@@download/ENCFF942RGN.fastq.gz,,1,H3K27ac,ENCSR828DDP,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF559TOW/@@download/ENCFF559TOW.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF668PVO/@@download/ENCFF668PVO.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF779VNY/@@download/ENCFF779VNY.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF821QGM/@@download/ENCFF821QGM.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF071ALN/@@download/ENCFF071ALN.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF206UCB/@@download/ENCFF206UCB.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF292EEY/@@download/ENCFF292EEY.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR051QLZ,https://www.encodeproject.org/files/ENCFF351RVW/@@download/ENCFF351RVW.fastq.gz,,1,H3K27ac,ENCSR646FGM,1
ENCSR054BKO,https://www.encodeproject.org/files/ENCFF413QKU/@@download/ENCFF413QKU.fastq.gz,,1,H3K27ac,ENCSR264DYL,1
ENCSR059MVB,https://www.encodeproject.org/files/ENCFF002AZR/@@download/ENCFF002AZR.fastq.gz,,1,H3K27ac,ENCSR836XKP,1
ENCSR059MVB,https://www.encodeproject.org/files/ENCFF002AWN/@@download/ENCFF002AWN.fastq.gz,,2,H3K27ac,ENCSR836XKP,2
