sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1323926,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1323926/fastq/SRR1164937.fastq.gz,,1,H3K27ac,GSM1323941,1
GSM1323941,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1323941/fastq/SRR1164952.fastq.gz,,1,,,
GSM1323935,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1323935/fastq/SRR1164946.fastq.gz,,1,H3K27ac,GSM1323942,1
GSM1323942,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1323942/fastq/SRR1164953.fastq.gz,,1,,,
GSM1329665,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1329665/fastq/SRR1171385.fastq.gz,,1,H3K27ac,GSM1329666,1
GSM1329666,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1329666/fastq/SRR1171386.fastq.gz,,1,,,
GSM1355171,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1355171/fastq/SRR1202472.fastq.gz,,1,H3K27ac,GSM1355176,1
GSM1355176,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1355176/fastq/SRR1202477.fastq.gz,,1,,,
GSM1355172,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1355172/fastq/SRR1202473.fastq.gz,,1,H3K27ac,GSM1355177,1
GSM1355177,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1355177/fastq/SRR1202478.fastq.gz,,1,,,
GSM1382219,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1382219/fastq/SRR1274714.fastq.gz,,1,H3K27ac,GSM1382221,1
GSM1382221,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1382221/fastq/SRR1274716.fastq.gz,,1,,,
