sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1273652,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273652/fastq/SRR1036371.fastq.gz,,1,,,
GSM1273660,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273660/fastq/SRR1036379.fastq.gz,,1,H3K27ac,GSM1273657,1
GSM1273657,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273657/fastq/SRR1036376.fastq.gz,,1,,,
GSM1273665,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273665/fastq/SRR1036384.fastq.gz,,1,H3K27ac,GSM1273662,1
GSM1273662,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1273662/fastq/SRR1036381.fastq.gz,,1,,,
GSM1356063,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1356063/fastq/SRR1201297_1.fastq.gz,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1356063/fastq/SRR1201297_2.fastq.gz,1,H3K27ac,GSM1278003,1
GSM1278003,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1278003/fastq/SRR1041791.fastq.gz,,1,,,
GSM1316300,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316300/fastq/SRR1145795.fastq.gz,,1,H3K27ac,GSM1316304,1
GSM1316304,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316304/fastq/SRR1145799.fastq.gz,,1,,,
GSM1316307,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316307/fastq/SRR1145802.fastq.gz,,1,H3K27ac,GSM1316311,1
GSM1316311,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316311/fastq/SRR1145806.fastq.gz,,1,,,
GSM1316314,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316314/fastq/SRR1145809.fastq.gz,,1,H3K27ac,GSM1316318,1
GSM1316318,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316318/fastq/SRR1145813.fastq.gz,,1,,,
GSM1316321,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316321/fastq/SRR1145816.fastq.gz,,1,H3K27ac,GSM1316325,1
GSM1316325,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316325/fastq/SRR1145820.fastq.gz,,1,,,
GSM1316328,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316328/fastq/SRR1145823.fastq.gz,,1,H3K27ac,GSM1316332,1
GSM1316332,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316332/fastq/SRR1145827.fastq.gz,,1,,,
GSM1316339,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316339/fastq/SRR1145834.fastq.gz,,1,H3K27ac,GSM1316340,1
GSM1316340,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316340/fastq/SRR1145835.fastq.gz,,1,,,
GSM1316341,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316341/fastq/SRR1145836.fastq.gz,,1,H3K27ac,GSM1316342,1
GSM1316342,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1316342/fastq/SRR1145837.fastq.gz,,1,,,
GSM1551472,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1551472/fastq/SRR1658452.fastq.gz,,1,H3K27ac,GSM1551473,1
GSM1551473,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1551473/fastq/SRR1658453.fastq.gz,,1,,,
GSM1330734,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1330734/fastq/SRR1171864.fastq.gz,,1,H3K27ac,GSM1330735,1
GSM1330735,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM1330735/fastq/SRR1171865.fastq.gz,,1,,,
